x,y,z,zrotation,SARwb
   0.25000,   0.90000,   0.81000,  90.00000,   0.00990
   0.25000,   0.90000,   1.35000,  90.00000,   0.00933
   0.25000,   0.90000,   2.00000,  90.00000,   0.00625
   0.25000,   1.40000,  -2.00000,  90.00000,   0.00282
   0.25000,   1.40000,  -1.35000,  90.00000,   0.00283
   0.25000,   1.40000,  -0.81000,  90.00000,   0.00205
   0.25000,   1.40000,  -0.30000,  90.00000,   0.00136
   0.25000,   1.40000,   0.00000,  90.00000,   0.00137
   0.25000,   1.40000,   0.30000,  90.00000,   0.00182
   0.25000,   1.40000,   0.81000,  90.00000,   0.00318
   0.25000,   1.40000,   1.35000,  90.00000,   0.00416
   0.25000,   1.40000,   2.00000,  90.00000,   0.00382
   0.25000,   2.00000,  -2.00000,  90.00000,   0.00134
   0.25000,   2.00000,  -1.35000,  90.00000,   0.00103
   0.25000,   2.00000,  -0.81000,  90.00000,   0.00061
   0.25000,   2.00000,  -0.30000,  90.00000,   0.00036
   0.25000,   2.00000,   0.00000,  90.00000,   0.00037
   0.25000,   2.00000,   0.30000,  90.00000,   0.00055
   0.25000,   2.00000,   0.81000,  90.00000,   0.00109
   0.25000,   2.00000,   1.35000,  90.00000,   0.00170
   0.25000,   2.00000,   2.00000,  90.00000,   0.00204
   0.50000,   0.00000,  -2.00000,   0.00000,   0.01354
   0.50000,   0.00000,  -1.35000,   0.00000,   0.03559
   0.50000,   0.00000,  -0.81000,   0.00000,   0.29374
   0.50000,   0.00000,  -0.30000,   0.00000,   0.74074
   0.50000,   0.00000,   0.00000,   0.00000,   0.79061
   0.50000,   0.00000,   0.30000,   0.00000,   0.59907
   0.50000,   0.00000,   0.81000,   0.00000,   0.38482
   0.50000,   0.00000,   1.35000,   0.00000,   0.04651
   0.50000,   0.00000,   2.00000,   0.00000,   0.01837
   0.50000,   0.10000,  -2.00000,  77.05000,   0.01224
   0.50000,   0.10000,  -1.35000,  77.05000,   0.03490
   0.50000,   0.10000,  -0.81000,  77.05000,   0.18372
   0.50000,   0.10000,  -0.30000,  77.05000,   0.52600
   0.50000,   0.10000,   0.00000,  77.05000,   0.50686
   0.50000,   0.10000,   0.30000,  77.05000,   0.33362
   0.50000,   0.10000,   0.81000,  77.05000,   0.36956
   0.50000,   0.10000,   1.35000,  77.05000,   0.04482
   0.50000,   0.10000,   2.00000,  77.05000,   0.01634
   0.50000,   0.20000,  -2.00000,  83.44000,   0.01192
   0.50000,   0.20000,  -1.35000,  83.44000,   0.03314
   0.50000,   0.20000,  -0.81000,  83.44000,   0.10483
   0.50000,   0.20000,  -0.30000,  83.44000,   0.25903
   0.50000,   0.20000,   0.00000,  83.44000,   0.25262
   0.50000,   0.20000,   0.30000,  83.44000,   0.18378
   0.50000,   0.20000,   0.81000,  83.44000,   0.17483
   0.50000,   0.20000,   1.35000,  83.44000,   0.04181
   0.50000,   0.20000,   2.00000,  83.44000,   0.01573
   0.50000,   0.36000,  -2.00000,  86.34000,   0.01145
   0.50000,   0.36000,  -1.35000,  86.34000,   0.02947
   0.50000,   0.36000,  -0.81000,  86.34000,   0.05964
   0.50000,   0.36000,  -0.30000,  86.34000,   0.09824
   0.50000,   0.36000,   0.00000,  86.34000,   0.10042
   0.50000,   0.36000,   0.30000,  86.34000,   0.09022
   0.50000,   0.36000,   0.81000,  86.34000,   0.07292
   0.50000,   0.36000,   1.35000,  86.34000,   0.03634
   0.50000,   0.36000,   2.00000,  86.34000,   0.01463
   0.50000,   0.60000,  -2.00000,  87.80000,   0.01032
   0.50000,   0.60000,  -1.35000,  87.80000,   0.02175
   0.50000,   0.60000,  -0.81000,  87.80000,   0.03055
   0.50000,   0.60000,  -0.30000,  87.80000,   0.03677
   0.50000,   0.60000,   0.00000,  87.80000,   0.03870
   0.50000,   0.60000,   0.30000,  87.80000,   0.03818
   0.50000,   0.60000,   0.81000,  87.80000,   0.03526
   0.50000,   0.60000,   1.35000,  87.80000,   0.02570
   0.50000,   0.60000,   2.00000,  87.80000,   0.01279
   0.50000,   0.90000,  -2.00000,  88.54000,   0.00828
   0.50000,   0.90000,  -1.35000,  88.54000,   0.01307
   0.50000,   0.90000,  -0.81000,  88.54000,   0.01417
   0.50000,   0.90000,  -0.30000,  88.54000,   0.01352
   0.50000,   0.90000,   0.00000,  88.54000,   0.01389
   0.50000,   0.90000,   0.30000,  88.54000,   0.01457
   0.50000,   0.90000,   0.81000,  88.54000,   0.01653
   0.50000,   0.90000,   1.35000,  88.54000,   0.01542
   0.50000,   0.90000,   2.00000,  88.54000,   0.01002
   0.50000,   1.40000,  -2.00000,  89.06000,   0.00473
   0.50000,   1.40000,  -1.35000,  89.06000,   0.00521
   0.50000,   1.40000,  -0.81000,  89.06000,   0.00426
   0.50000,   1.40000,  -0.30000,  89.06000,   0.00331
   0.50000,   1.40000,   0.00000,  89.06000,   0.00320
   0.50000,   1.40000,   0.30000,  89.06000,   0.00371
   0.50000,   1.40000,   0.81000,  89.06000,   0.00539
   0.50000,   1.40000,   1.35000,  89.06000,   0.00665
   0.50000,   1.40000,   2.00000,  89.06000,   0.00590
   0.50000,   2.00000,  -2.00000,  89.34000,   0.00221
   0.50000,   2.00000,  -1.35000,  89.34000,   0.00188
   0.50000,   2.00000,  -0.81000,  89.34000,   0.00129
   0.50000,   2.00000,  -0.30000,  89.34000,   0.00085
   0.50000,   2.00000,   0.00000,  89.34000,   0.00082
   0.50000,   2.00000,   0.30000,  89.34000,   0.00104
   0.50000,   2.00000,   0.81000,  89.34000,   0.00178
   0.50000,   2.00000,   1.35000,  89.34000,   0.00261
   0.50000,   2.00000,   2.00000,  89.34000,   0.00301
   0.80000,   0.00000,  -2.00000,   0.00000,   0.01370
   0.80000,   0.00000,  -1.35000,   0.00000,   0.02156
   0.80000,   0.00000,  -0.81000,   0.00000,   0.19169
   0.80000,   0.00000,  -0.30000,   0.00000,   0.57514
   0.80000,   0.00000,   0.00000,   0.00000,   0.57296
   0.80000,   0.00000,   0.30000,   0.00000,   0.40727
   0.80000,   0.00000,   0.81000,   0.00000,   0.20425
   0.80000,   0.00000,   1.35000,   0.00000,   0.02690
   0.80000,   0.00000,   2.00000,   0.00000,   0.01786
   0.80000,   0.10000,  -2.00000,  17.20000,   0.01386
   0.80000,   0.10000,  -1.35000,  17.20000,   0.02182
   0.80000,   0.10000,  -0.81000,  17.20000,   0.17166
   0.80000,   0.10000,  -0.30000,  17.20000,   0.50521
   0.80000,   0.10000,   0.00000,  17.20000,   0.50429
   0.80000,   0.10000,   0.30000,  17.20000,   0.36018
   0.80000,   0.10000,   0.81000,  17.20000,   0.18438
   0.80000,   0.10000,   1.35000,  17.20000,   0.02752
   0.80000,   0.10000,   2.00000,  17.20000,   0.01786
   0.80000,   0.20000,  -2.00000,  31.77000,   0.01417
   0.80000,   0.20000,  -1.35000,  31.77000,   0.02228
   0.80000,   0.20000,  -0.81000,  31.77000,   0.12760
   0.80000,   0.20000,  -0.30000,  31.77000,   0.35868
   0.80000,   0.20000,   0.00000,  31.77000,   0.35715
   0.80000,   0.20000,   0.30000,  31.77000,   0.25568
   0.80000,   0.20000,   0.81000,  31.77000,   0.13837
   0.80000,   0.20000,   1.35000,  31.77000,   0.02846
   0.80000,   0.20000,   2.00000,  31.77000,   0.01782
   0.80000,   0.36000,  -2.00000,  48.10000,   0.01445
   0.80000,   0.36000,  -1.35000,  48.10000,   0.02253
   0.80000,   0.36000,  -0.81000,  48.10000,   0.06600
   0.80000,   0.36000,  -0.30000,  48.10000,   0.15348
   0.80000,   0.36000,   0.00000,  48.10000,   0.15063
   0.80000,   0.36000,   0.30000,  48.10000,   0.11584
   0.80000,   0.36000,   0.81000,  48.10000,   0.07121
   0.80000,   0.36000,   1.35000,  48.10000,   0.02832
